,EquipSlot,ClassName,EquipName,WeaponType,EquipLevel,STR,DEX,LUK,INT,All Stats,Max HP,Max MP,Defense,Weapon Attack,Magic Attack,Attack Speed,Max DF
0,Secondary,Ark,Initial Path,Abyssal Path,10,3,3,0,0,0,0,0,0,0,0,0,0
1,Secondary,Angelic Buster,Pink Soul Ring,Soul Ring,10,0,0,0,0,2,300,0,100,0,0,0,0
2,Secondary,Ark,Secondary Path,Abyssal Path,30,4,4,0,0,0,0,0,0,1,0,0,0
3,Secondary,Ark,Advanced Path,Abyssal Path,60,6,6,0,0,0,0,0,0,2,0,0,0
4,Secondary,Ark,Ultimate Path,Abyssal Path,100,10,10,0,0,0,0,0,0,3,0,0,0
5,Secondary,Ark,Onyx Maple Path,Abyssal Path,100,8,8,0,0,0,0,0,0,5,0,0,0
6,Secondary,Ark,Princess No Path,Abyssal Path,140,14,14,0,0,0,0,0,0,9,0,0,0
7,Secondary,Angelic Buster,Purple Soul Ring,Soul Ring,30,0,0,0,0,4,500,0,150,0,0,0,0
8,Secondary,Angelic Buster,Blue Soul Ring,Soul Ring,60,0,0,0,0,6,700,0,200,0,0,0,0
9,Secondary,Angelic Buster,Green Soul Ring,Soul Ring,100,0,0,0,0,10,900,0,300,0,0,0,0
10,Secondary,Angelic Buster,Onyx Maple Soul Ring,Soul Ring,100,0,0,0,0,8,800,0,275,0,0,0,0
11,Secondary,Angelic Buster,Maple Treasure Soul Ring,Soul Ring,110,0,0,0,0,9,0,0,280,0,0,0,0
12,Secondary,Angelic Buster,Princess No's Soul Ring,Soul Ring,140,0,0,0,0,14,"1,382",0,475,0,0,0,0
13,Secondary,Mechanic,Magnum,Magnum,10,0,3,0,0,0,0,0,0,0,0,0,0
14,Secondary,Mechanic,Split Magnum,Magnum,30,0,4,0,0,0,0,0,0,0,0,0,0
15,Secondary,Mechanic,Vital Magnum,Magnum,60,0,7,0,0,0,0,0,0,0,0,0,0
16,Secondary,Mechanic,Eternal Magnum,Magnum,100,0,10,0,0,0,0,0,0,0,0,0,0
17,Secondary,Mechanic,Onyx Maple Magnum,Magnum,100,8,8,0,0,0,0,0,0,0,0,0,0
18,Secondary,Mechanic,Maple Treasure Magnum,Magnum,110,9,9,0,0,0,0,0,0,0,0,0,0
19,Secondary,Mechanic,Princess No's Magnum,Magnum,140,14,14,0,0,0,0,0,0,0,0,0,0
20,Secondary,Corsairs,Eagle Eye,Far Sight,30,4,4,0,0,0,0,0,0,1,0,0,0
21,Secondary,Buccaneers,Wrist Band,Wrist Band,30,4,4,0,0,0,0,0,0,1,0,0,0
22,Secondary,Corsairs,Hawkeye,Far Sight,60,6,6,0,0,0,0,0,0,2,0,0,0
23,Secondary,Corsairs,Falcon Eye,Far Sight,100,10,10,0,0,0,0,0,0,3,0,0,0
24,Secondary,Corsairs,Onyx Maple Falcon Eye,Far Sight,100,8,8,0,0,0,0,0,0,5,0,0,0
25,Secondary,Corsairs,Maple Treasure Falcon Eye,Far Sight,110,9,9,0,0,0,0,0,0,6,0,0,0
26,Secondary,Corsairs,Princess No's Falcon Eye,Far Sight,140,14,14,0,0,0,0,0,0,9,0,0,0
27,Secondary,Buccaneers,Wrist Guard,Wrist Band,60,6,6,0,0,0,0,0,0,2,0,0,0
28,Secondary,Buccaneers,Wrist Armor,Wrist Band,100,10,10,0,0,0,0,0,0,3,0,0,0
29,Secondary,Buccaneers,Onyx Maple Wrist Armor,Wrist Band,100,8,8,0,0,0,0,0,0,5,0,0,0
30,Secondary,Buccaneers,Maple Treasure Wrist Armor,Wrist Band,110,9,9,0,0,0,0,0,0,6,0,0,0
31,Secondary,Buccaneers,Princess No's Skull Armor,Wrist Band,140,14,14,0,0,0,0,0,0,9,0,0,0
32,Secondary,Hoyoung,Mano Fan Tassel,Fan Tassel,10,0,3,3,0,0,0,0,0,0,0,0,0
33,Secondary,Hoyoung,Lapis Lazuli Fan Tassel,Fan Tassel,30,0,4,4,0,0,0,0,0,1,0,0,0
34,Secondary,Hoyoung,Corundum Fan Tassel,Fan Tassel,60,0,6,6,0,0,0,0,0,2,0,0,0
35,Secondary,Hoyoung,Moonstone Fan Tassel,Fan Tassel,100,0,10,10,0,0,0,0,0,3,0,0,0
36,Secondary,Hoyoung,Onyx Maple Fan Tassel,Fan Tassel,100,0,8,8,0,0,0,0,0,5,0,0,0
37,Secondary,Hoyoung,Princess No's Fan Tassel,Fan Tassel,140,0,14,14,0,0,0,0,0,9,0,0,0
38,Secondary,Cannoneers,Pin Fire Bomb,Powder Keg,30,4,4,0,0,0,0,0,0,1,0,0,0
39,Secondary,Cannoneers,Rim Fire Bomb,Powder Keg,60,6,6,0,0,0,0,0,0,2,0,0,0
40,Secondary,Cannoneers,Center Fire Bomb,Powder Keg,100,10,10,0,0,0,0,0,0,3,0,0,0
41,Secondary,Cannoneers,Onyx Maple Center Fire Bomb,Powder Keg,100,8,8,0,0,0,0,0,0,5,0,0,0
42,Secondary,Cannoneers,Maple Treasure Center Fire Bomb,Powder Keg,110,9,9,0,0,0,0,0,0,6,0,0,0
43,Secondary,Cannoneers,Princess No's Fire Bomb,Powder Keg,140,14,14,0,0,0,0,0,0,9,0,0,0
44,Secondary,Dual Blade,Utgard Katara,Katara,140,0,0,330,0,0,0,0,0,63,0,Faster (3),0
45,Secondary,Dual Blade,Fafnir Rapid Edge,Katara,150,0,0,30,0,0,0,0,0,81,0,Faster (3),0
46,Secondary,Dual Blade,AbsoLab Katara,Katara,160,0,0,40,0,0,0,0,0,97,0,Faster (3),0
47,Secondary,Dual Blade,Arcane Umbra Katara,Katara,200,0,0,65,0,0,0,0,0,140,0,Faster (3),0
48,Secondary,Eunwol,Blue Fox Marble,Fox Marble,20,3,3,0,0,0,0,0,0,0,0,0,0
49,Secondary,Eunwol,Green Fox Marble,Fox Marble,30,4,4,0,0,0,0,0,0,1,0,0,0
50,Secondary,Eunwol,Red Fox Marble,Fox Marble,60,6,6,0,0,0,0,0,0,2,0,0,0
51,Secondary,Eunwol,Golden Fox Marble,Fox Marble,100,10,10,0,0,0,0,0,0,3,0,0,0
52,Secondary,Eunwol,Onyx Maple Fox Marble,Fox Marble,100,8,8,0,0,0,0,0,0,5,0,0,0
53,Secondary,Eunwol,Maple Treasure Fox Marble,Fox Marble,110,9,9,0,0,0,0,0,0,6,0,0,0
54,Secondary,Eunwol,Princess No's Fox Marble,Fox Marble,140,14,14,0,0,0,0,0,0,9,0,0,0
55,Secondary,Kain,D Basic Weapon Belt,Weapon Belt,10,3,3,0,0,0,0,0,0,0,0,0,0
56,Secondary,Cadena,Transmitter Type-D,Warp Forge,10,0,3,3,0,0,0,0,0,0,0,0,0
57,Secondary,Wild Hunters,Wild Beak,Arrow Head,30,4,4,0,0,0,0,0,0,1,0,0,0
58,Secondary,Shadower,Hidden Shadow,Dagger Scabbard,30,0,4,4,0,0,0,0,0,1,0,0,0
59,Secondary,Night Lord,All Souls Charm,Charm,30,0,4,4,0,0,0,0,0,1,0,0,0
60,Secondary,Kain,D30A Weapon Belt,Weapon Belt,30,4,4,0,0,0,0,0,0,1,0,0,0
61,Secondary,Kain,D60 Advanced Weapon Belt,Weapon Belt,60,6,6,0,0,0,0,0,0,2,0,0,0
62,Secondary,Kain,D100 Custom Weapon Belt,Weapon Belt,100,10,10,0,0,0,0,0,0,3,0,0,0
63,Secondary,Kain,Onyx Maple D100 Weapon Belt,Weapon Belt,100,8,8,0,0,0,0,0,0,5,0,0,0
64,Secondary,Kain,Princess No's Immortal Weapon Belt,Weapon Belt,140,14,14,0,0,0,0,0,0,9,0,0,0
65,Secondary,Cadena,Transmitter Type-C,Warp Forge,30,0,4,4,0,0,0,0,0,1,0,0,0
66,Secondary,Cadena,Transmitter Type-B,Warp Forge,60,0,6,6,0,0,0,0,0,2,0,0,0
67,Secondary,Cadena,Transmitter Type-A,Warp Forge,100,0,10,10,0,0,0,0,0,3,0,0,0
68,Secondary,Cadena,Onyx Maple Transmitter,Warp Forge,100,0,8,8,0,0,0,0,0,5,0,0,0
69,Secondary,Cadena,Princess No's Transmitter,Warp Forge,140,0,14,14,0,0,0,0,0,9,0,0,0
70,Secondary,Wild Hunters,Wild Crow,Arrow Head,60,6,6,0,0,0,0,0,0,2,0,0,0
71,Secondary,Wild Hunters,Wild Heron,Arrow Head,100,10,10,0,0,0,0,0,0,3,0,0,0
72,Secondary,Wild Hunters,Onyx Maple Wild Heron,Arrow Head,100,8,8,0,0,0,0,0,0,5,0,0,0
73,Secondary,Wild Hunters,Maple Treasure Wild Beak,Arrow Head,110,9,9,0,0,0,0,0,0,6,0,0,0
74,Secondary,Wild Hunters,Princess No's Arrowhead,Arrow Head,140,14,14,0,0,0,0,0,0,9,0,0,0
75,Secondary,Shadower,Vanishing Shadow,Dagger Scabbard,60,0,6,6,0,0,0,0,0,2,0,0,0
76,Secondary,Shadower,Slashing Shadow,Dagger Scabbard,100,0,10,10,0,0,0,0,0,3,0,0,0
77,Secondary,Shadower,Onyx Maple Shadow,Dagger Scabbard,100,0,8,8,0,0,0,0,0,5,0,0,0
78,Secondary,Shadower,Maple Treasure Shadow,Dagger Scabbard,110,0,9,9,0,0,0,0,0,6,0,0,0
79,Secondary,Shadower,Princess No's Purple Shadow,Dagger Scabbard,140,0,14,14,0,0,0,0,0,9,0,0,0
80,Secondary,Night Lord,Evil Ender Charm,Charm,60,0,6,6,0,0,0,0,0,2,0,0,0
81,Secondary,Night Lord,Death Sender Charm,Charm,100,0,10,10,0,0,0,0,0,3,0,0,0
82,Secondary,Night Lord,Onyx Maple Death Sender Charm,Charm,100,0,8,8,0,0,0,0,0,5,0,0,0
83,Secondary,Night Lord,Maple Treasure Death Sender Charm,Charm,110,0,9,9,0,0,0,0,0,6,0,0,0
84,Secondary,Night Lord,Princess No's Charm,Charm,140,0,14,14,0,0,0,0,0,9,0,0,0
85,Secondary,Pathfinder,Potential Relic,Relic,10,3,3,0,0,0,0,0,0,0,0,0,0
86,Secondary,Bowmaster,Breezy Feather,Arrow Fletching,30,4,4,0,0,0,0,0,0,1,0,0,0
87,Secondary,Lara,Simple Four-Jade Ornament,Ornament,10,0,0,3,3,0,0,0,0,0,0,0,0
88,Secondary,Pathfinder,Awakened Relic,Relic,30,4,4,0,0,0,0,0,0,1,0,0,0
89,Secondary,Pathfinder,Trine Relic,Relic,60,6,6,0,0,0,0,0,0,2,0,0,0
90,Secondary,Pathfinder,Perfect Relic,Relic,100,10,10,0,0,0,0,0,0,3,0,0,0
91,Secondary,Pathfinder,Onyx Maple Relic,Relic,100,8,8,0,0,0,0,0,0,5,0,0,0
92,Secondary,Pathfinder,Princess No's Immortal Relic,Relic,140,14,14,0,0,0,0,0,0,9,0,0,0
93,Secondary,Bowmaster,Gusty Feather,Arrow Fletching,60,6,6,0,0,0,0,0,0,2,0,0,0
94,Secondary,Bowmaster,Blasted Feather,Arrow Fletching,100,10,10,0,0,0,0,0,0,3,0,0,0
95,Secondary,Bowmaster,Onyx Maple Feather,Arrow Fletching,100,8,8,0,0,0,0,0,0,5,0,0,0
96,Secondary,Bowmaster,Maple Treasure Feather,Arrow Fletching,110,9,9,0,0,0,0,0,0,6,0,0,0
97,Secondary,Bowmaster,Princess No's Feather,Arrow Fletching,140,14,14,0,0,0,0,0,0,9,0,0,0
98,Secondary,Xenon,Dual Core Controller,Core Controller,1,0,0,0,0,2,0,0,30,0,0,0,0
99,Secondary,Lara,Subtle Four-Jade Ornament,Ornament,30,0,0,4,4,0,0,0,0,0,1,0,0
100,Secondary,Lara,Flashy Four-Jade Ornament,Ornament,60,0,0,6,6,0,0,0,0,0,2,0,0
101,Secondary,Lara,Radiant Four-Jade Ornament,Ornament,100,0,0,10,10,0,0,0,0,0,3,0,0
102,Secondary,Lara,Black Four-Jade Ornament,Ornament,100,0,0,8,8,0,0,0,0,0,5,0,0
103,Secondary,Lara,Onyx Maple Four-Jade Ornament,Ornament,100,0,0,8,8,0,0,0,0,0,5,0,0
104,Secondary,Lara,Immortal Four-Jade Ornament,Ornament,140,0,0,14,14,0,0,0,0,0,9,0,0
105,Secondary,Xenon,Dual Core Controller,Core Controller,10,0,0,0,0,2,300,100,150,0,0,0,0
106,Secondary,Xenon,Quad Core Controller,Core Controller,30,0,0,0,0,2,500,300,200,0,0,0,0
107,Secondary,Xenon,Hexa Core Controller,Core Controller,60,0,0,0,0,2,700,400,250,0,0,0,0
108,Secondary,Xenon,Octa Core Controller,Core Controller,100,0,0,0,0,2,900,500,380,0,0,0,0
109,Secondary,Xenon,Onyx Maple Octo Core Controller,Core Controller,100,0,0,0,0,2,800,450,380,0,0,0,0
110,Secondary,Xenon,Maple Treasure Controller,Core Controller,110,0,0,0,0,3,0,450,390,0,0,0,0
111,Secondary,Xenon,Princess No's Controller,Core Controller,140,0,0,0,0,4,600,600,550,0,0,0,0
112,Secondary,Phantom,Carte Magique,Card,10,0,0,0,0,0,0,0,0,0,0,0,0
113,Secondary,Illium,Basic Lucent Wings,Lucent Wings,1,0,0,1,1,0,0,0,0,0,0,0,0
114,Secondary,Phantom,Carte Fantasmatique,Card,30,0,0,0,0,0,0,0,0,0,0,0,0
115,Secondary,Phantom,Carte Magnifique,Card,60,0,0,0,0,0,0,0,0,0,0,0,0
116,Secondary,Phantom,Carte Finale,Card,100,0,0,0,0,0,0,0,0,0,0,0,0
117,Secondary,Phantom,Carte Onyx Maple,Card,100,0,8,8,0,0,0,0,0,0,0,0,0
118,Secondary,Phantom,Maple Treasure Carte,Card,110,0,9,9,0,0,0,0,0,0,0,0,0
119,Secondary,Phantom,Princess No's Carte,Card,140,0,14,14,0,0,0,0,0,0,0,0,0
120,Secondary,Illium,Core Lucent Wings,Lucent Wings,30,0,0,4,4,0,0,0,0,0,1,0,0
121,Secondary,Illium,Holy Lucent Wings,Lucent Wings,60,0,0,6,6,0,0,0,0,0,2,0,0
122,Secondary,Illium,Glory Lucent Wings,Lucent Wings,100,0,0,10,10,0,0,0,0,0,3,0,0
123,Secondary,Illium,Onyx Maple Lucent Wings,Lucent Wings,100,0,0,8,8,0,0,0,0,0,5,0,0
124,Secondary,Illium,Princess No's Lucent Wings,Lucent Wings,140,0,0,14,14,0,0,0,0,0,9,0,0
125,Secondary,Battle Mage,Equalizer Ball,Magic Marble,30,0,0,4,4,0,0,0,0,0,1,0,0
126,Secondary,Battle Mage,Energizer Ball,Magic Marble,60,0,0,6,6,0,0,0,0,0,2,0,0
127,Secondary,Battle Mage,Maximizer Ball,Magic Marble,100,0,0,10,10,0,0,0,0,0,3,0,0
128,Secondary,Battle Mage,Onyx Maple Maximizer Ball,Magic Marble,100,0,0,8,8,0,0,0,0,0,5,0,0
129,Secondary,Battle Mage,Maple Treasure Equalizer Ball,Magic Marble,110,0,0,9,9,0,0,0,0,0,6,0,0
